,3.48833,72.863
07MT,48.4211,-106.528
0WI8,43.1389,-88.4723
18AZ,33.8181,-111.898
1AZ0,33.1119,-112.269
20GA,33.7565,-84.8847
24SC,33.9358,-81.4297
2FD7,28.4356,-81.4731
2XS8,29.2294,-99.8239
5NC2,34.8763,-80.6192
66CA,35.6077,-121.11
7FA1,24.6488,-81.5798
7FL4,29.9041,-81.6851
AAA,-17.3526,-145.51
AAC,31.0733,33.8358
AAE,36.8222,7.80917
AAF,29.7275,-85.0275
AAH,50.8231,6.18639
AAK,0.185278,173.637
AAL,57.0928,9.84924
AAM,-24.8181,31.5446
AAN,24.2617,55.6092
AAO,9.43023,-64.4707
AAP,29.7225,-95.5883
AAQ,45.0021,37.3473
AAR,56.3,10.619
AAT,47.7499,88.0858
AAV,6.36682,124.751
AAX,-19.5632,-46.9604
AAY,16.1917,52.175
AAZ,14.8656,-91.502
ABA,53.74,91.385
ABB,6.20417,6.66528
ABC,38.9485,-1.86352
ABD,30.3711,48.2283
ABE,40.6521,-75.4408
ABF,1.79861,173.041
ABH,-23.6461,146.584
ABI,32.4113,-99.6819
ABJ,5.26139,-3.92629
ABK,6.734,44.253
ABL,67.1063,-157.857
ABM,-10.9508,142.459
ABN,5.51272,-54.0501
ABQ,35.0402,-106.609
ABR,45.4491,-98.4218
ABS,22.376,31.6117
ABT,20.2961,41.6343
ABV,9.00679,7.26317
ABX,-36.0678,146.958
ABY,31.5355,-84.1945
ABZ,57.2019,-2.19778
ACA,16.7571,-99.754
ACC,5.60519,-0.166786
ACD,8.51667,-77.3
ACE,28.9455,-13.6052
ACF,-27.5703,153.008
ACH,47.485,9.56077
ACI,49.7061,-2.21472
ACJ,8.30149,80.4279
ACK,41.2531,-70.0602
ACN,29.3329,-101.099
ACP,37.348,46.1279
ACR,-0.5833,-72.4083
ACS,56.2683,90.5708
ACT,31.6113,-97.2305
ACV,40.9781,-124.109
ACX,25.0864,104.959
ACY,39.4576,-74.5772
ACZ,31.0983,61.5439
ADA,36.9822,35.2804
ADB,38.2924,27.157
ADD,8.97789,38.7993
ADE,12.8295,45.0288
ADF,37.7314,38.4689
ADH,58.6028,125.409
ADI,-22.4622,14.98
ADJ,31.9727,35.9916
ADK,51.878,-176.646
ADL,-34.945,138.531
ADM,34.303,-97.0196
ADP,7.33776,81.6259
ADQ,57.75,-152.494
ADS,32.9686,-96.8364
ADT,34.8043,-96.6713
ADU,38.3257,48.4244
ADW,38.8108,-76.867
ADX,56.3729,-2.86844
ADY,-22.679,29.0555
ADZ,12.5836,-81.7112
AEA,0.490833,173.829
AEB,23.7206,106.96
AEG,1.4001,99.4305
AEH,13.847,20.8443
AEI,36.1289,-5.44112
AEO,16.7113,-9.63788
AEP,-34.5592,-58.4156
AER,43.4499,39.9566
AES,62.5625,6.1197
AET,66.5518,-152.622
AEU,25.8757,55.033
AEX,31.3274,-92.5498
AEY,65.66,-18.0727
AFA,-34.5883,-68.4039
AFL,-9.86639,-56.105
AFS,41.6139,64.2332
AFT,-9.19139,160.949
AFW,32.9876,-97.3188
AFY,38.7264,30.6011
AFZ,36.1681,57.5952
AGA,30.325,-9.41307
AGB,48.4253,10.9317
AGC,40.3544,-79.9302
AGE,53.7828,7.91389
AGF,44.1747,0.590556
AGH,56.2961,12.8471
AGI,5.84113,-56.6733
AGJ,26.5925,127.241
AGN,57.5036,-134.585
AGP,36.6749,-4.49911
AGQ,38.602,21.3512
AGR,27.1558,77.9609
AGS,33.3699,-81.9645
AGT,-25.4545,-54.8427
AGU,21.7056,-102.318
AGV,9.55338,-69.2379
AGX,10.8237,72.176
AGZ,-29.2818,18.8139
AHB,18.2404,42.6566
AHE,-14.4281,-146.257
AHJ,32.5315,102.352
AHN,33.9486,-83.3263
AHO,40.6321,8.29077
AHS,15.4722,-84.3522
AHU,35.1771,-3.83952
AIA,42.0532,-102.804
AID,40.1086,-85.613
AIK,33.6494,-81.685
AIN,70.638,-159.995
AIP,31.4338,75.7588
AIR,-10.1883,-59.4573
AIS,-2.61611,176.803
AIT,-18.8309,-159.764
AIU,-19.9678,-158.119
